common_name,latin_name,cat_safe
Gold-Fish Plant,Hypocyrta nummularia,true
Golden Bells,Oleaceae,true
Golden Butterfly Palm,Dypsis lutescens,true
Golden Lace Orchid,Haemaria discolor,true
Golden Shower Orchid,Oncidium sphacelatum,true
Good Luck Palm,Chamaedorea elegans,true
Grape Hyacinth,Muscari armeniacum,true
Grape Ivy,Cissus rhombifolia,true
Great Willow Herb,Epilobium angustifolium,true
Green Ripple Peperomia,Peperomia caperata,true
Greenbrier,Smilax glabra,true
Hagbrier,Smilax hispida,true
Hardy Baby Tears,Sedum album,true
Hardy Gloxinia,Incarvillea delavayi,true
Hare Fern,Davallia spp.,true
Haworthia,Haworthia species,true
Haws,Crataegus species,true
Haws Apple,Crataegus species,true
Hawthorn,Crataegus species,true
Hedgehog Gourd,Cucumis dipsaceus,true
Hellfetter,Smilax hispida,true
Hemlock Tree,Tsuga species,true
Hen and Chickens Fern,Asplenium bulbiferum,true
Hens and Chickens,Echeveria elegans,true
Hibiscus,Hibiscus syriacus,true
Hindu Rope Plant,Hoya carnosa 'krinkle kurl',true
Hoary Alyssum,Berteroa incana,true
Holligold,Calendula officinalis,true
Holly Fern,Cyrtomium falcatum,true
Hollyhock,Alcea rosea,true
Honey Locust,Gleditsia triacanthos,true
Honey Plant,Hoya carnosa,true
Honeydew Melon,Cucumis melo,true
Honeysuckle Fuchsia,Fuchsia triphylla,true
Hookera pulchella,Dichelostemma pulchellum,true
Hubbard Squash,Cucurbita maxima var. hubbard,true
Hypocyrta,Hypocyrta nummularia,true
Ice Plant,Lampranthus piquet,true
Impatience Plant,Impatiens spp.,true
Irish Moss,Selaginella kraussiana,true
Iron Tree,Ixora coccinea,true
Ivy Peperomia,Peperomia griseoargentea,true
Jackson Brier,Smilax lanceolata,true
Jacob's Ladder,Smilax herbacea,true
Japanese Aralia,Fatsia japonica,true
Japanese Holly Fern,Cyrtomium falcatum,true
Japanese Moss,Selaginella kraussiana,true
Japanese Pittosporum,Pittosporum tobira,true
Jasmine,Jasminium species,true
Jewel Orchid,Haemaria discolor,true
Joseph's Coat,Iresine herbstii,true
Jungle Geranium,Ixora javanica,true
Kaempferia,Kaempferia spp.,true
Kahali Ginger,Hedychium gardnerianum,true
Kenilworth Ivy,Cymbalaria muralis,true
Kentia Palm,Howea forsteriana,true
Kenya Violet,Saintpaulia confusa,true
Kharoub,Ceratonia siliqua,true
King and Queen Fern,Asplenium bulbiferum,true
King Nut,Carya laciniosa,true
King of the Forest,Anoectuchilus setaceus,true
Kuang-yen-pa-hsieh,Smilax glabra,true
Lace Flower Vine,Episcia dianthiflora,true
Lace Orchid,Odontoglossum crispum,true
Ladies Ear Drops,Fuschsia spp.,true
Lady Lou,Episcia reptans,true
Lady Palm,Rhapis flabelliformus,true
Lady Slipper,Impatiens spp.,true
Lagerstroemia Indica,Lagerstroemia indica,true
Lance Pleomele,Draceana spp.,true
Laurel-Leaved Greenbrier,Smilax laurifolia,true
Leather Peperomia,Peperomia crassifolia,true
Lemon Balm,Melissa officinalis,true
Leopard Lily,Lachenalia lilacina,true
Leopard Orchid,Dendrobium gracilicaule,true
Lesser Snapdragon,Antirrhinum orontium,true
Lily of the Valley Orchid,Odontoglossum pulchellum,true
Linden,Tilia americana,true
Lipstick Plant,Aeschynanthus humilis,true
Little Fantasy Peperomia,Peperomia caperata,true
Little Zebra Plant,Haworthia subfasciata,true
Living Rock Cactus,Pleiospilos bolusii,true
Living Stones,Lithops naureeniae,true
Loco Weed,Oxytropis spp.,true
Locust Pods,Ceratonia siliqua,true
Madagascar Jasmine,Stephanotis floribunda,true
Magnolia Bush,Magnolia stellata,true
Mahonia,Mahonia aquifolium,true
Majesty Palm,Ravenea rivularis,true
Malabar Gourd,Cucurbita ficifolia,true
Malaysian Dracaena,Dracaena reflexa,true
Manila Palm,Veitchia merrillii,true
Maranta,Calathea insignis,true
Marbled Fingernail,Neoregelia spectabilis,true
Mariposa Lily,Calochortus gunnisonii,true
Maroon,Echeveria multicaulis,true
Maroon Chenille Plant,Echeveria derenbergii,true
Mary-Bud,Calendula officinalis,true
Measles Plant,Acantha,true
Metallic Peperomia,Peperomia caperata,true
Mexican Firecracker,Echeveria Pulinata,true
Mexican Rosettes,Echevaria,true
Mexican Snowballs,Echevaria,true
Miniature Date Palm,Phoenix robellinii,true
Miniature Fish Tail,Chamaedorea elegans,true
Miniature Maranta,Calathea micans,true
Miniature Marble Plant,Neoregelia spectabilis,true
Mistletoe Cactus,Rhipsalis cassutha,true
Mockernut Hickory,Carya tomentosa,true
Money Tree,Pachira aquatica,true
Mosaic Plant,Bertolonia mosaica,true
Mosaic Vase,Guzmania musaica,true
Moss Agate,Episcia reptans,true
Moss Campion,Silene acaulis,true
Moss Fern,Selaginella kraussiana,true
Moss Phlox,Phlox subulata,true
Mossy Campion,Silene acaulis,true
Mother Fern,Asplenium bulbiferum,true
Mother of Pearl,Secum weinbergii,true
Mother Spleenwort,Asplenium bulbiferum,true
Mountain Camellia,Stewartia ovata,true
Mountain Grape,Mahonia aquifolium,true
Mulberry Bush Greenbrier,Smilax sp.,true
Mulberry Tree,Morus sp.,true
Musa Paradisiaca,Musa acuminata,true
Muscari Armeniacum,Muscari armeniacum,true
Muskmelon,Cucumis melo,true
Nasturtium,Tropaeolum majus,true
Natal Plum,Carissa grandiflora,true
Neanthe Bella Palm,Chamaedorea elegans,true
Nematanthus spp.,Hypocyrta nummularia,true
Neoregelia,Neoregalia spp.,true
Nerve Plant,Fittonia verschaffeltii,true
Night Blooming Cereus,Hylocereus undatus,true
Old Man Cactus,Cephalocereus senilis,true
Old World Orchid,Bulbophyllum appendiculatum,true
Orange Star,Guzmania lingulata minor,true
Oregon Grape,Mahonia aquifolium,true
Ossifragi Vase,Neoregalia spp.,true
Paddys Wig,Soleirolia soleirolii,true
Painted Lady,Echeveria multicaulis,true
Pampas Grass,Cortaderia selloana,true
Panamiga,Pilea involucrata,true
Pansy Orchid,Miltonia roezlii alba,true
Paradise Palm,Howea forsteriana,true
Parlor Palm,Chamaedorea elegans,true
Parsley Fern,Asplenium bulbiferum,true
Patient Lucy,Impatiens spp.,true
Patient Plant,Impatiens spp.,true
Peacock Plant,Kaempferia,true
Pearl Plant,Haworthia margaritifera,true
Pearly Dots,Haworthia margaritifera,true
Peperomia Hederifolia,Peperomia griseoargentea,true
Peperomia Peltfolia,Peperomia peltifolia,true
Peperomia Rotundifolia,Peperomia rotundifolia,true
Peperomia Sandersii,Peperomia sandersii,true
Pepper Face,Peperomia obtusifolia,true
Persian Violet,Exacum affine,true
Peruvian Lily,Alstroemeria,true
Petunia,Petunia species,true
Phalaenopsis Orchid,Phalaenopsis sp.,true
Pheasant Plant,Cryptanthus zonatus,true
Piggy Back Plant,Tolmeia menziesii,true
Pignut Hickory,Carya glabra,true
Pilea Microphylla,Pilea microphylla,true
Pilea Mucosa,Pilea microphylla,true
Pincushion Flower,Leucospermum incisum,true
Pink Brocade,Episcia cultivar,true
Pink Splash,Hypoestes phyllostachya,true
Pink Starlite,Cryptanthus bivattus minor,true
Pirliteiro,Crataegus species,true
Pitaya,Hylocereus undatus,true
Plantanus Occidentalis,Plantanus occidentalis,true
Platinum Peperomia,Peperomia griseoargentea,true
Platycerium Alcicorne,Platycerium alcicorne,true
Plumbago Larpentiae,Ceratostigma larpentiae,true
Plush Plant,Echeveria pul-oliver,true
Poison Ivy,Toxicodendron species,true
Poison Oak,Toxicodendron species,true
Poison Sumac,Toxicodendron species,true
Polka Dot Plant,Hypoestes phyllostachya,true
Polystichum Falcatum,Cyrtomium falcatum,true
Pony Tail,Beaucarnea recurvata,true
Porcelain Flower,Hoya carnosa 'krinkle kurl',true
Pot Marigold,Calendula officinalis,true
Prairie Lily,Zephyranthes drummondii,true
Prayer Plant,Calathea insignis,true
Prostrate Coleus,Plectranthus oetendahlii,true
Pupleosier Willow,Salix purpurea,true
Purple Baby Tears,Frithia pulchra,true
Purple Passion Vine,Gynura aurantica,true
Purple Velvet Plant,Gynura aurantica,true
Purple Waffle Plant,Hemigraphis exotica,true
Queencup,Clintonia uniflora,true
Queens Spiderwort,Dichorisandra reginae,true
Queensland Arrowroot,Canna edulis,true
Rabbits Foot Fern,Davallia spp.,true
Rainbow Orchid,Epidendrum prismatocarpum,true
Red African Violet,Episcia reptans,true
Red Berried Greenbrier,Smilax walteria,true
Red Edge Peperomia,Peperomia clusiifolia,true
Red Hawthorne,Crataegus species,true
Red Maple,Acer rubrum,true
Red Palm Lily,Cordyline rubra,true
Red Veined Prayer,Calathea insignis,true
Reed Palm,Chamaedorea elegans,true
Resurrection Lily,Kaempferia,true
Rhynchophorum,Peperomia obtusifolia,true
Ribbon Plant,Chlorophytum comosum,true
Roosevelt Fern,Nephrolepis biserrata,true
Rose,Rosa Species,true
Rose of China,Hibiscus syriacus,true
Rose of Sharon,Hibiscus syriacus,true
Rosemary,Rosmarinus officinalis,true
Russian Knapweed,Centaurea repens,true
Russian Olive,elaeagnus species,true
Saffron Spike Zebra,Aphelandra squarrosa,true
Sage,Salvia officinalis,true
Saint Bernards Lily,Anthericum liliago,true
Salad Burnet,Poterium sanguisorba,true
Sand Lily,Leucocrinum montanum,true
Sand Verbena,Abronia fragrans,true
Satin Pellionia,Pellonia pulchra,true
Savory,Satureja hortensis,true
Savory,Satureja hortensis,true
Sawbrier,Smilax glauca,true
Scabious,Leucospermum incisum,true
Scarborough Lily,Vallota speciosa,true
Scarlet Orchid,Epidendrum tampense,true
Scarlet Sage,Salvia coccinea,true
Sego Lily,Calochortus gunnisonii,true
Shagbark Hickory,Carya laciniosa,true
Shan Ku'ei-lai,Smilax glabra,true
Shellbark Hickory,Carya laciniosa,true
Shrimp Cactus,Schlumbergera russelliana,true
Silver Bell,Halesia carolina,true
Silver Berry,elaeagnus species,true
Silver Heart,Peperomia caperata,true
Silver Pink Vine,Hoya publcalyx,true
Silver Star,Cryptanthus lacerdae,true
Silver Table Fern,Pteris sp.,true
Silver Tree Anamiga,NONE LISTED,true
Slender Deutzia,Deutzia gracilis,true
Small Fruited Hickory,Carya glabra,true
Smilax Tamnoides Vas,Smilax hispida,true
Speckled Wood Lily,Clintonia umbelluata,true
Spice Orchid,Epidendrum atropurpeum,true
Spice Orchid,Epidendrum ibaguense,true
Spider Flower,Cleome hasserlana,true
Spider Ivy,Chlorophytum comosum,true
Spider Plant,Chlorophytum comosum,true
Star Jasmine,Trachelospermum jasminoides,true
Star Lily,Leucocrinum montanum,true
Star Plant,Cryptanthus bivattus minor,true
Stevia,Stevia rebaudiana,true
Strawberry,Fragaria spp.,true
Striped Blushing,Neoregalia spp.,true
Sudan Grass,Sorghum vulgare var sudanesis,true
Sugar Pods,Ceratonia siliqua,true
Sulfur Flower,Eriogonium umbellatum,true
Summer Hyacinth,Galtonia spp.,true
Sunflower,helianthus angustifolius,true
Swamp Sunflower,helianthus angustifolius,true
Swedish Ivy,Plectranthus australis,true
Sweet Potato Vine,Ipomoea batatas,true
Sweetheart Hoya,Hoya kerrii,true
Sword Fern,Nephrolepis biserrata,true
Tailed Orchid,Masdevallia spp.,true
Tall Feather Fern,Nephrolepis biserrata,true
Tall Mahonia,Mahonia aquifolium,true
Tangerine Impatience,Impatiens spp.,true
Teasel Gourd,Cucumis dipsaceus,true
Texas Sage,Salvia coccinea,true
Thea Japonica,Camellia japonica,true
Thimble Cactus,Mammillaria fragilis,true
Thorn Apple,Crataegus douglasii,true
Thyme,Thymus vulgaris,true
Ti hu-ling,Smilax glabra,true
Tickseed,Coreopsis californica,true
Tiger Orchid,Haemaria discolor,true
Toad Spotted Cactus,Stapelia variegata,true
Torch Lily,Kniphofia,true
Tous-les-mois,Canna edulis,true
Trailing Peperomia,Peperomia prostata,true
Tree Cactus,Opuntia species,true
Tree Gloxinia,Kohleria lindeniana,true
Tropical Moss,Selaginella kraussiana,true
True Cantaloupe,Cucumis melo,true
Tu Fu-Ling,Smilax glabra,true
Tulip Poplar,Liriodendron tulipifera,true
Turban Squash,Cucurbita maxima cv turbaniformis,true
Turf Lily,Liriope muscari,true
Umbrella Plant,Eriogonium umbellatum,true
Urbinia Agavoides,Echeveria elegans,true
Usambara Violet,Santpaulia confusa,true
Variegated Wax Plant,Echeveria sp.,true
Velvet Plant,Gynura aurantica,true
Venus Fly Trap,Dionaea muscipula,true
Verona Fern,Nephrolepis biserrata,true
Verona Lace Fern,Nephrolepis biserrata,true
Vining Peperomia,Peperomia serpens variegata,true
Violet Slipper Gloxinia,Sinningia speciosa,true
Waffle Plant,Hemigraphis exotica,true
Walking Anthericum,Chlorophytum comosum,true
Washington Hawthorn,Crataegus species,true
Water Hickory,Carya aquatica,true
Water Hyacinth,Eichhornia crassipes,true
Watermelon Begonia,Peperomia argyreia,true
Watermelon Peperomia,Peperomia argyreia,true
Watermelon Pilea,Pilea cadieri,true
Wax Plant,Hoya carnosa 'krinkle kurl',true
Wax Rosette,Echeveria gilva,true
Weeping Bottlebrush,Callistemon species,true
Weeping Sargent Hemlock,Tsuga species,true
